date,indicator,value
2025-01-01,Annual inflation,8.9
2025-02-01,Annual inflation,9.4
2025-03-01,Annual inflation,10.0
2025-04-01,Annual inflation,10.7
2025-05-01,Annual inflation,11.3
2025-06-01,Annual inflation,11.8
2025-07-01,Annual inflation,11.8
2025-08-01,Annual inflation,12.2
2025-09-01,Annual inflation,12.9
2025-10-01,Annual inflation,12.6
2025-11-01,Annual inflation,12.4

2025-01-01,Food,5.8
2025-02-01,Food,6.5
2025-03-01,Food,7.6
2025-04-01,Food,8.5
2025-05-01,Food,9.6
2025-06-01,Food,10.6
2025-07-01,Food,11.2
2025-08-01,Food,11.7
2025-09-01,Food,12.7
2025-10-01,Food,13.5
2025-11-01,Food,13.4

2025-01-01,Non-food,8.4
2025-02-01,Non-food,8.7
2025-03-01,Non-food,9.1
2025-04-01,Non-food,8.9
2025-05-01,Non-food,9.0
2025-06-01,Non-food,9.4
2025-07-01,Non-food,9.5
2025-08-01,Non-food,9.7
2025-09-01,Non-food,10.8
2025-10-01,Non-food,11.0
2025-11-01,Non-food,11.2

2025-01-01,Paid services,13.8
2025-02-01,Paid services,14.1
2025-03-01,Paid services,14.3
2025-04-01,Paid services,15.7
2025-05-01,Paid services,16.0
2025-06-01,Paid services,16.1
2025-07-01,Paid services,14.9
2025-08-01,Paid services,15.3
2025-09-01,Paid services,15.3
2025-10-01,Paid services,12.9
2025-11-01,Paid services,12.3

2025-01-01,Monthly inflation,1.1
2025-02-01,Monthly inflation,1.5
2025-03-01,Monthly inflation,1.3
2025-04-01,Monthly inflation,1.2
2025-05-01,Monthly inflation,0.9
2025-06-01,Monthly inflation,0.8
2025-07-01,Monthly inflation,0.7
2025-08-01,Monthly inflation,1.0
2025-09-01,Monthly inflation,1.1
2025-10-01,Monthly inflation,0.5
2025-11-01,Monthly inflation,0.8

2025-12-01,Annual inflation,12.3
2025-12-01,Food,13.5
2025-12-01,Non-food,11.1
2025-12-01,Paid services,12.0
2026-01-01,Annual inflation,12.2
2026-01-01,Food,12.9
2026-01-01,Non-food,11.7
2026-01-01,Paid services,12.0
2026-02-01,Annual inflation,11.7
2026-02-01,Food,12.7
2026-02-01,Non-food,11.6
2026-02-01,Paid services,10.8
2026-03-01,Annual inflation,11.0
2026-03-01,Food,11.7
2026-03-01,Non-food,11.3
2026-03-01,Paid services,10.0
2026-04-01,Annual inflation,10.6
2026-04-01,Food,11.3
2026-04-01,Non-food,11.7
2026-04-01,Paid services,8.9
